0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180005 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180006 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0000720170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180005 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180006 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
0007220170611200057178180001 60,6        ,0          7,5         ,0          ,0          ,0          60,6        ,0          ,0          7,5         ,0          0000000   
